frame_number,object_class,confidence_score,x1,y1,x2,y2
0,73,0.36450645327568054,446.113037109375,650.8994140625,719.1502685546875,1194.07568359375
0,26,0.27852463722229004,88.40594482421875,251.765869140625,569.2786865234375,615.6044311523438
1,73,0.3564196228981018,445.7343444824219,651.0031127929688,719.5748291015625,1195.8072509765625
1,26,0.28354769945144653,88.36529541015625,251.77651977539062,569.323486328125,615.681396484375
2,73,0.31838440895080566,445.7349853515625,651.1947021484375,720.0,1197.942138671875
2,26,0.2840072810649872,88.21148681640625,251.6927032470703,569.3156127929688,615.7005004882812
3,73,0.3721013069152832,445.9955139160156,652.102294921875,720.0,1200.391845703125
3,26,0.2483890801668167,88.32788848876953,251.37197875976562,570.66552734375,616.3338623046875
4,73,0.40779533982276917,446.3387145996094,653.3404541015625,720.0,1203.6153564453125
4,26,0.14066185057163239,89.94871520996094,252.35113525390625,573.1708984375,618.1222534179688
5,73,0.4545011520385742,446.78570556640625,654.5281372070312,720.0,1206.911376953125
5,26,0.12254776060581207,90.67242431640625,252.67843627929688,574.6513061523438,619.14697265625
6,73,0.48176369071006775,447.37030029296875,656.5864868164062,720.0,1209.93701171875
6,26,0.13259442150592804,90.79055786132812,252.85130310058594,575.8505249023438,620.3055419921875
6,65,0.5425678491592407,380.93658447265625,554.2982177734375,618.250244140625,658.4639282226562
7,73,0.48236459493637085,447.6975402832031,657.2801513671875,720.0,1212.8028564453125
7,26,0.1371978372335434,91.25596618652344,253.94593811035156,575.8763427734375,621.1990356445312
7,65,0.5302900671958923,379.9487609863281,555.4295654296875,622.1931762695312,661.7859497070312
8,73,0.4493502378463745,447.7311096191406,656.9256591796875,720.0,1214.7332763671875
8,26,0.17625094950199127,90.65180206298828,253.53736877441406,575.9382934570312,621.3401489257812
8,65,0.45105716586112976,380.0299377441406,555.95458984375,625.7517700195312,663.8847045898438
9,73,0.3800900876522064,447.70318603515625,657.24072265625,720.0,1218.17041015625
9,26,0.2047835886478424,90.38734436035156,254.2244873046875,576.2630615234375,622.503173828125
9,65,0.4467589557170868,378.95849609375,556.6578979492188,628.8670043945312,666.5452880859375
10,73,0.3317689299583435,448.2615661621094,658.9977416992188,720.0,1221.1307373046875
10,26,0.20355071127414703,90.26099395751953,255.86727905273438,576.2449951171875,624.2930297851562
10,65,0.4251631200313568,378.7354736328125,557.9730834960938,630.7737426757812,668.9542236328125
11,73,0.3774387538433075,448.96282958984375,660.7623901367188,720.0,1224.153564453125
11,26,0.18559898436069489,90.2607421875,257.25384521484375,576.8511352539062,626.2144165039062
11,65,0.35891279578208923,378.8138732910156,559.4032592773438,631.6790161132812,670.9407958984375
12,73,0.4471171498298645,449.45257568359375,662.2720336914062,720.0,1227.474609375
12,26,0.22039927542209625,89.76616668701172,258.0491027832031,577.242431640625,627.79345703125
12,65,0.33333906531333923,378.7149353027344,560.10009765625,632.9110717773438,672.4656372070312
13,73,0.46406787633895874,450.0765686035156,663.1652221679688,720.0,1230.079345703125
13,26,0.26962894201278687,88.51193237304688,258.3330383300781,577.8338012695312,629.6731567382812
13,65,0.36632296442985535,380.8241271972656,560.742431640625,632.7799682617188,672.2646484375
14,73,0.39750558137893677,449.9837341308594,664.47705078125,720.0,1233.09716796875
14,26,0.24950002133846283,87.63504791259766,258.3426208496094,578.4060668945312,631.051025390625
14,65,0.4571225345134735,381.6746826171875,561.3240356445312,632.5415649414062,672.4962158203125
15,73,0.3707367479801178,449.6268005371094,665.3524780273438,720.0,1236.6092529296875
15,26,0.2556520402431488,86.89730834960938,258.1689453125,578.60791015625,631.879638671875
15,65,0.47503870725631714,381.93115234375,561.804931640625,631.9990234375,672.740234375
16,73,0.3366500437259674,449.61944580078125,665.521484375,720.0,1238.876220703125
16,26,0.23604534566402435,85.104248046875,257.26629638671875,578.2335815429688,632.3140869140625
16,65,0.4487505853176117,381.0206298828125,561.8977661132812,631.8452758789062,673.3223876953125
17,73,0.38277730345726013,449.4369201660156,665.61083984375,720.0,1240.6710205078125
17,26,0.2369106411933899,82.80196380615234,255.5752716064453,577.935546875,632.423828125
17,65,0.549476683139801,380.94140625,561.8932495117188,630.1388549804688,672.7019653320312
